unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 09:10:00-04:00,116.6,116.86294,116.97228,116.84392,116.755714,116.71094,116.63631,116.78707,116.74873,116.79181,117.6005,116.79494,116.7984,1
NVDA,2024-09-03 09:15:00-04:00,116.6126,116.87341,116.99543,116.89725,116.76629,116.69549,116.636185,116.789085,116.72991,116.796196,117.7264,116.79737,116.7984,2
NVDA,2024-09-03 09:20:00-04:00,116.47,116.842804,117.029236,116.941605,116.76665,116.695625,116.64384,116.81513,116.721825,116.79689,117.74836,116.79889,116.7984,3
NVDA,2024-09-03 09:25:00-04:00,116.01,116.826126,117.01142,116.9679,116.763374,116.63593,116.61028,116.85284,116.77321,116.80724,117.64606,116.799736,116.7984,4
NVDA,2024-09-03 09:30:00-04:00,113.79,116.83181,117.03357,116.995384,116.76915,116.62801,116.65471,116.84901,116.81112,116.79732,117.73826,116.800255,116.7984,5
NVDA,2024-09-03 09:35:00-04:00,113.36,115.289635,114.35891,114.13403,114.54012,115.789215,116.42536,114.1818,113.379196,113.95322,116.943695,114.026665,113.79,0
NVDA,2024-09-03 09:40:00-04:00,113.05,115.049675,114.283195,113.9282,114.55423,116.064316,116.40504,114.10263,112.969444,113.860016,116.83104,114.02454,113.79,1
NVDA,2024-09-03 09:45:00-04:00,113.55,115.02883,114.303696,114.11635,114.53674,116.26023,116.41329,114.50726,112.98659,113.85977,116.94704,114.02774,113.79,2
NVDA,2024-09-03 09:50:00-04:00,112.67,114.82908,114.35408,114.26382,114.550606,116.35261,116.40941,114.72248,112.87597,113.92262,117.01928,114.03102,113.79,3
NVDA,2024-09-03 09:55:00-04:00,112.91,114.70874,114.2987,114.47122,114.529236,116.34146,116.42532,115.02009,113.042656,113.87878,116.91716,114.03466,113.79,4
NVDA,2024-09-03 10:00:00-04:00,112.835,115.040474,114.370575,114.380035,114.71694,116.420425,116.43775,114.85952,113.03978,113.70911,116.938065,114.03876,113.79,5
NVDA,2024-09-03 10:05:00-04:00,112.82,114.447556,113.42171,112.80968,112.65789,114.65778,116.065445,113.161964,112.91786,112.83494,115.654854,112.05817,112.835,0
NVDA,2024-09-03 10:10:00-04:00,111.93,114.188,113.33929,112.58306,112.71538,114.97842,116.0044,112.80469,112.75784,112.62204,115.42223,112.19055,112.835,1
NVDA,2024-09-03 10:15:00-04:00,112.03,114.10188,113.36586,112.276215,112.62007,115.26106,116.00823,112.737366,112.65696,112.53141,115.52818,112.29185,112.835,2
NVDA,2024-09-03 10:20:00-04:00,112.3,113.89093,113.40866,112.28624,112.550354,115.38722,116.01327,112.88622,112.48654,112.63325,115.726715,112.3841,112.835,3
NVDA,2024-09-03 10:25:00-04:00,112.18,113.37949,113.385544,112.47443,112.60212,115.35202,116.026184,113.20518,112.6296,112.79384,115.5973,112.470245,112.835,4
NVDA,2024-09-03 10:30:00-04:00,111.62,112.69795,113.44947,112.64647,112.80123,115.53841,116.045074,113.38452,112.705765,112.72501,115.60904,112.54515,112.835,5
NVDA,2024-09-03 10:35:00-04:00,111.03,113.96638,112.16468,111.710556,112.047714,112.45822,114.833824,112.03704,111.7973,111.67864,115.05783,111.439865,111.62,0
